name,category,description,price
"Products","Pultrusion Structural Material","Products - industrial composite",0
"Glass Fabric Laminates","Pultrusion Structural Material","Glass Fabric Laminates - industrial composite",0
"Glass Matte Laminates","Pultrusion Structural Material","Glass Matte Laminates - industrial composite",0
"Speciality Laminates","Pultrusion Structural Material","Speciality Laminates - industrial composite",0
"MICA","Pultrusion Structural Material","MICA - industrial composite",0
"Tubes And Cylinders","Pultrusion Structural Material","Tubes And Cylinders - industrial composite",0
"Threaded Rods","Pultrusion Structural Material","Threaded Rods - industrial composite",0
"FR4 / EPGC 202","Pultrusion Structural Material","FR4 / EPGC 202 - industrial composite",0
"G10 / EPGC 201","Pultrusion Structural Material","G10 / EPGC 201 - industrial composite",0
"G11 / EPGC 202","Pultrusion Structural Material","G11 / EPGC 202 - industrial composite",0
"G7 / SIGC 202","Pultrusion Structural Material","G7 / SIGC 202 - industrial composite",0
"G30 / PFGC 301","Pultrusion Structural Material","G30 / PFGC 301 - industrial composite",0
"GPO1 / UPGM 201","Pultrusion Structural Material","GPO1 / UPGM 201 - industrial composite",0
"GPO2 / UPGM 202","Pultrusion Structural Material","GPO2 / UPGM 202 - industrial composite",0
"GPO3 / UPGM 203","Pultrusion Structural Material","GPO3 / UPGM 203 - industrial composite",0
"SG204 / GPO1","Pultrusion Structural Material","SG204 / GPO1 - industrial composite",0
"HT276 / UPGM 204/205","Pultrusion Structural Material","HT276 / UPGM 204/205 - industrial composite",0
"P1 / PF CP 201","Pultrusion Structural Material","P1 / PF CP 201 - industrial composite",0
"P2 / PF CP 207","Pultrusion Structural Material","P2 / PF CP 207 - industrial composite",0
"P3 / PF CP 203","Pultrusion Structural Material","P3 / PF CP 203 - industrial composite",0
"P4 / PF CP 204","Pultrusion Structural Material","P4 / PF CP 204 - industrial composite",0
"F2 / PF CC 202 / 305","Pultrusion Structural Material","F2 / PF CC 202 / 305 - industrial composite",0
"F3 / PF CC 203","Pultrusion Structural Material","F3 / PF CC 203 - industrial composite",0
"F4 / PF CC 204","Pultrusion Structural Material","F4 / PF CC 204 - industrial composite",0
"F5 / PF CC 204","Pultrusion Structural Material","F5 / PF CC 204 - industrial composite",0
"Magnetic Laminates","Pultrusion Structural Material","Magnetic Laminates - industrial composite",0
"MICA Tubes","Pultrusion Structural Material","MICA Tubes - industrial composite",0
"MICA Sheet","Pultrusion Structural Material","MICA Sheet - industrial composite",0
"MICA Paper","Pultrusion Structural Material","MICA Paper - industrial composite",0
"MICA Tape","Pultrusion Structural Material","MICA Tape - industrial composite",0
"Synthetic MICA Tape","Pultrusion Structural Material","Synthetic MICA Tape - industrial composite",0
"Muscovite MICA Tape","Pultrusion Structural Material","Muscovite MICA Tape - industrial composite",0
"Phlogophite MICA Tape","Pultrusion Structural Material","Phlogophite MICA Tape - industrial composite",0
"Calcinied MICA Tape","Pultrusion Structural Material","Calcinied MICA Tape - industrial composite",0
"Products |","Pultrusion Structural Material","Products | - industrial composite",0
"GPO-1","Pultrusion Structural Material","GPO-1 - industrial composite",0
"GPO-2","Pultrusion Structural Material","GPO-2 - industrial composite",0
"GPO-3","Pultrusion Structural Material","GPO-3 - industrial composite",0
"SG204","Pultrusion Structural Material","SG204 - industrial composite",0
"HT276","Pultrusion Structural Material","HT276 - industrial composite",0
"Products","Tubes And Cylinders","Products - industrial composite",0
"Glass Fabric Laminates","Tubes And Cylinders","Glass Fabric Laminates - industrial composite",0
"Glass Matte Laminates","Tubes And Cylinders","Glass Matte Laminates - industrial composite",0
"Speciality Laminates","Tubes And Cylinders","Speciality Laminates - industrial composite",0
"MICA","Tubes And Cylinders","MICA - industrial composite",0
"Tubes And Cylinders","Tubes And Cylinders","Tubes And Cylinders - industrial composite",0
"Threaded Rods","Tubes And Cylinders","Threaded Rods - industrial composite",0
"FR4 / EPGC 202","Tubes And Cylinders","FR4 / EPGC 202 - industrial composite",0
"G10 / EPGC 201","Tubes And Cylinders","G10 / EPGC 201 - industrial composite",0
"G11 / EPGC 202","Tubes And Cylinders","G11 / EPGC 202 - industrial composite",0
"G7 / SIGC 202","Tubes And Cylinders","G7 / SIGC 202 - industrial composite",0
"G30 / PFGC 301","Tubes And Cylinders","G30 / PFGC 301 - industrial composite",0
"GPO1 / UPGM 201","Tubes And Cylinders","GPO1 / UPGM 201 - industrial composite",0
"GPO2 / UPGM 202","Tubes And Cylinders","GPO2 / UPGM 202 - industrial composite",0
"GPO3 / UPGM 203","Tubes And Cylinders","GPO3 / UPGM 203 - industrial composite",0
"SG204 / GPO1","Tubes And Cylinders","SG204 / GPO1 - industrial composite",0
"HT276 / UPGM 204/205","Tubes And Cylinders","HT276 / UPGM 204/205 - industrial composite",0
"P1 / PF CP 201","Tubes And Cylinders","P1 / PF CP 201 - industrial composite",0
"P2 / PF CP 207","Tubes And Cylinders","P2 / PF CP 207 - industrial composite",0
"P3 / PF CP 203","Tubes And Cylinders","P3 / PF CP 203 - industrial composite",0
"P4 / PF CP 204","Tubes And Cylinders","P4 / PF CP 204 - industrial composite",0
"F2 / PF CC 202 / 305","Tubes And Cylinders","F2 / PF CC 202 / 305 - industrial composite",0
"F3 / PF CC 203","Tubes And Cylinders","F3 / PF CC 203 - industrial composite",0
"F4 / PF CC 204","Tubes And Cylinders","F4 / PF CC 204 - industrial composite",0
"F5 / PF CC 204","Tubes And Cylinders","F5 / PF CC 204 - industrial composite",0
"Magnetic Laminates","Tubes And Cylinders","Magnetic Laminates - industrial composite",0
"MICA Tubes","Tubes And Cylinders","MICA Tubes - industrial composite",0
"MICA Sheet","Tubes And Cylinders","MICA Sheet - industrial composite",0
"MICA Paper","Tubes And Cylinders","MICA Paper - industrial composite",0
"MICA Tape","Tubes And Cylinders","MICA Tape - industrial composite",0
"Synthetic MICA Tape","Tubes And Cylinders","Synthetic MICA Tape - industrial composite",0
"Muscovite MICA Tape","Tubes And Cylinders","Muscovite MICA Tape - industrial composite",0
"Phlogophite MICA Tape","Tubes And Cylinders","Phlogophite MICA Tape - industrial composite",0
"Calcinied MICA Tape","Tubes And Cylinders","Calcinied MICA Tape - industrial composite",0
"Products |","Tubes And Cylinders","Products | - industrial composite",0
"GPO-1","Tubes And Cylinders","GPO-1 - industrial composite",0
"GPO-2","Tubes And Cylinders","GPO-2 - industrial composite",0
"GPO-3","Tubes And Cylinders","GPO-3 - industrial composite",0
"SG204","Tubes And Cylinders","SG204 - industrial composite",0
